id_municipio;Estado ;municipio;lon1;lat1;lon2;lat2
301;BA;Conceição da Feira;-38,99888889;-12,50583333;-38,49277778;-12,98305556
302;BA;Conceição do Almeida;-39,16388889;-12,80888889;-38,49277778;-12,98305556
303;BA;Conceição do Coité;-39,28277778;-11,56388889;-38,49277778;-12,98305556
304;BA;Conceição do Jacuípe;-38,765;-12,32694444;-38,49277778;-12,98305556
305;BA;Conde;-37,61083333;-11,81388889;-38,49277778;-12,98305556
306;BA;Condeúba;-41,96888889;-14,895;-38,49277778;-12,98305556
307;BA;Contendas do Sincorá;-41,04083333;-13,76277778;-38,49277778;-12,98305556
308;BA;Coração de Maria;-38,75;-12,23277778;-38,49277778;-12,98305556
309;BA;Cordeiros;-41,930796;-15,035641;-38,49277778;-12,98305556
310;BA;Coribe;-44,45388889;-13,82888889;-38,49277778;-12,98305556
311;BA;Coronel João Sá;-37,92583333;-10,28388889;-38,49277778;-12,98305556
312;BA;Correntina;-44,63694444;-13,34277778;-38,49277778;-12,98305556
313;BA;Cotegipe;-44,25777778;-12,02777778;-38,49277778;-12,98305556
314;BA;Cravolândia;-39,815;-13,35888889;-38,49277778;-12,98305556
316;BA;Cristópolis;-44,42083333;-12,23388889;-38,49277778;-12,98305556
315;BA;Crisópolis;-38,15;-11,51083333;-38,49277778;-12,98305556
317;BA;Cruz das Almas;-39,10194444;-12,67;-38,49277778;-12,98305556
318;BA;Curaçá;-39,90777778;-8,991944444;-38,49277778;-12,98305556
281;BA;Cândido Sales;-41,23888889;-15,505;-38,49277778;-12,98305556
297;BA;Cícero Dantas;-38,38277778;-10,6;-38,49277778;-12,98305556
320;BA;Dias d`Ávila;-38,29694444;-12,61277778;-38,49277778;-12,98305556
321;BA;Dom Basílio;-41,77083333;-13,76;-38,49277778;-12,98305556
322;BA;Dom Macedo Costa;-39,19277778;-12,905;-38,49277778;-12,98305556
319;BA;Dário Meira;-39,90777778;-14,43583333;-38,49277778;-12,98305556
323;BA;Elísio Medrado;-39,52194444;-12,94583333;-38,49277778;-12,98305556
324;BA;Encruzilhada;-40,90888889;-15,53083333;-38,49277778;-12,98305556
325;BA;Entre Rios;-38,08388889;-11,94194444;-38,49277778;-12,98305556
327;BA;Esplanada;-37,945;-11,79583333;-38,49277778;-12,98305556
328;BA;Euclides da Cunha;-39,01388889;-10,50777778;-38,49277778;-12,98305556
329;BA;Eunápolis;-39,58;-16,37777778;-38,49277778;-12,98305556
331;BA;Feira da Mata;-44,28083333;-14,20694444;-38,49277778;-12,98305556
332;BA;Feira de Santana;-38,96694444;-12,26694444;-38,49277778;-12,98305556
333;BA;Filadélfia;-40,13277778;-10,74083333;-38,49277778;-12,98305556
334;BA;Firmino Alves;-39,92388889;-14,985;-38,49277778;-12,98305556
335;BA;Floresta Azul;-39,66;-14,86;-38,49277778;-12,98305556
336;BA;Formosa do Rio Preto;-45,19277778;-11,04777778;-38,49277778;-12,98305556
330;BA;Fátima;-38,21694444;-10,6;-38,49277778;-12,98305556
337;BA;Gandu;-39,48694444;-13,74388889;-38,49277778;-12,98305556
338;BA;Gavião;-39,78388889;-11,47083333;-38,49277778;-12,98305556
339;BA;Gentio do Ouro;-42,50583333;-11,42888889;-38,49277778;-12,98305556
340;BA;Glória;-38,25694444;-9,338888889;-38,49277778;-12,98305556
341;BA;Gongogi;-39,465;-14,32194444;-38,49277778;-12,98305556
343;BA;Governador Mangabeira;-39,04277778;-12,60194444;-38,49277778;-12,98305556
344;BA;Guajeru;-41,94;-14,54694444;-38,49277778;-12,98305556
345;BA;Guanambi;-42,78083333;-14,22277778;-38,49277778;-12,98305556
346;BA;Guaratinga;-39,78277778;-16,58388889;-38,49277778;-12,98305556
347;BA;Heliópolis;-38,28583333;-10,68277778;-38,49277778;-12,98305556
348;BA;Iaçu;-40,21194444;-12,76694444;-38,49277778;-12,98305556
349;BA;Ibiassucê;-42,25694444;-14,25888889;-38,49277778;-12,98305556
350;BA;Ibicaraí;-39,58777778;-14,865;-38,49277778;-12,98305556
351;BA;Ibicoara;-41,285;-13,41083333;-38,49277778;-12,98305556
352;BA;Ibicuí;-39,98694444;-14,84194444;-38,49277778;-12,98305556
353;BA;Ibipeba;-42,01083333;-11,64083333;-38,49277778;-12,98305556
354;BA;Ibipitanga;-42,48583333;-12,88194444;-38,49277778;-12,98305556
355;BA;Ibiquera;-40,93388889;-12,65083333;-38,49277778;-12,98305556
356;BA;Ibirapitanga;-39,37388889;-14,16388889;-38,49277778;-12,98305556
357;BA;Ibirapuã;-40,10888889;-17,68777778;-38,49277778;-12,98305556
358;BA;Ibirataia;-39,64083333;-14,06694444;-38,49277778;-12,98305556
